plant,ant,trial,season,date,time,min1,min2,min3,min4,min5,activity.avg,temp.c,dom.no,dom.size.mm,gh.length.mm,gh.mass.g,gh.species,gh.age,herbivory.rank
199,Allomerus,1,Winter,19-01-12,9:50:00,0,0,0,1,0,0.2,24,15,,8.8,0.007701,Orphulella fluvialis,juvenile,42
182,Allomerus,1,Winter,19-01-12,17:00:00,6,15,13,19,11,12.8,25.5,29,,15.6,0.028013,Orphulella punctata,adult,43
59,Allomerus,1,Winter,19-01-13,8:30:00,0,0,0,0,0,0,24,8,,10.4,0.009535,Orphulella fluvialis,juvenile,44
68,Allomerus,1,Winter,19-01-13,9:00:00,5,5,9,13,16,9.6,23.5,10,,18,0.041224,Orphulella punctata,adult,45
28,Allomerus,1,Winter,19-01-12,16:40:00,0,0,0,0,2,0.4,25.5,53,,12.8,0.017803,Orphulella concinnula,adult,46
35,Allomerus,1,Winter,19-01-13,16:40:00,1,0,1,2,1,1,25.5,46,,11.9,0.015786,Orphulella concinnula,juvenile,47
208,Allomerus,1,Winter,19-01-12,11:50:00,11,13,23,36,44,25.4,25,54,,11.4,0.014325,Orphulella concinnula,juvenile,48
107,Allomerus,1,Winter,19-01-09,14:40:00,8,13,11,14,15,12.2,25,25,,7.5,0.004645,Orphulella fluvialis,juvenile,49
23,Allomerus,1,Winter,19-01-12,15:10:00,2,2,2,4,4,2.8,25.5,12,,10.8,0.01513,Orphulella fluvialis,juvenile,50
152,Allomerus,1,Winter,19-01-14,10:30:00,8,8,10,8,4,7.6,25,,,5.9,0.02199,Orphulella sp. ,juvenile,51
24,Allomerus,1,Winter,19-01-12,15:30:00,0,2,2,2,2,1.6,25.5,27,,14.5,0.025133,Orphulella fluvialis,juvenile,52
27,Allomerus,1,Winter,19-01-12,16:00:00,6,4,13,19,27,13.8,25,34,,12.1,0.011735,Orphulella fluvialis,juvenile,53
16,Allomerus,1,Winter,19-01-13,16:30:00,0,0,0,0,0,0,,24,,11.7,0.016348,Orphulella punctata,juvenile,55
195,Allomerus,1,Winter,19-01-12,9:20:00,0,0,0,0,1,0.2,24,25,,10.1,0.008162,Orphulella fluvialis,juvenile,56
18,Allomerus,1,Winter,19-01-12,14:40:00,0,1,3,2,4,2,25.5,38,,11.7,0.013238,Orphulella fluvialis,juvenile,57
103,Allomerus,1,Winter,19-01-09,14:30:00,0,0,0,0,0,0,25,7,,10.6,0.010329,Orphulella fluvialis,juvenile,58
213,Allomerus,1,Winter,19-01-14,10:40:00,0,0,0,0,0,0,25,6,,6.8,0.003499,Orphulella fluvialis,juvenile,59
93,Allomerus,1,Winter,19-01-09,14:00:00,5,5,8,9,10,7.4,25.5,14,,9.2,0.007282,Orphulella punctata,juvenile,
105,Allomerus,1,Winter,19-01-09,14:50:00,0,2,4,3,1,2,25,3,,9.7,0.008667,Orphulella fluvialis,juvenile,
